,ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
64,1,36020,2163,118219,118220,120694,118777,130218,308574,118779
65,1,60006,16821,117961,118225,120535,118396,269406,118398,118399
66,0,35043,14800,117961,117962,118352,118784,117906,290919,118786
67,1,17308,4088,117961,118300,118458,118728,223125,118295,118730
68,0,15716,18073,118256,118257,118623,118995,286106,292795,118997
69,1,39883,55956,118555,118178,119262,117946,119727,292795,117948
70,1,42031,88387,118315,118463,118522,119172,121927,118467,119174
71,1,27124,2318,117961,118327,118933,117905,117906,290919,117908
72,1,35498,18454,117961,118343,119598,125171,257115,118424,125173
73,1,79168,58465,118602,118603,117941,117885,119621,117887,117888
74,1,2252,782,117961,118413,127522,118784,240983,290919,118786
75,1,45652,7338,117961,118225,119924,118321,118448,290919,118322
76,1,23921,4145,117961,118300,120026,307024,303717,118331,118332
77,1,95247,50690,118269,118270,117878,118568,118568,19721,118570
78,1,78844,15645,117961,118052,122392,128903,160695,292795,128905
79,1,19481,10627,118106,118107,119565,179731,155780,117887,117973
80,1,18380,44022,117961,117962,122215,127782,130085,290919,127783
81,1,37734,58406,117975,117976,117884,117885,117913,117887,117888
82,1,3853,17550,117961,118446,118684,118321,117906,290919,118322
83,1,278393,7076,117961,118225,120323,119093,136840,119095,119096
84,1,35625,6454,117961,118343,118856,117905,240983,290919,117908
85,1,35066,17465,91261,118026,118202,118278,118260,290919,118279
86,1,3853,5043,117961,118300,118458,120006,310997,118424,120008
87,1,41569,16671,117961,118052,118706,118523,310608,118331,118525
88,1,25862,46224,117961,118327,118378,120952,143223,118453,120954
89,1,75078,45963,117961,118386,118896,122645,309858,119221,122647
90,1,1020,1483,117961,117962,118840,118641,306399,118643,118644
91,0,22956,3967,117961,118052,118706,118321,117906,290919,118322
92,1,20364,2612,117961,118386,123901,117905,117906,290919,117908
93,1,28943,7547,117961,118052,118933,118784,213944,290919,118786
94,1,75329,17414,118752,119070,118042,118043,151099,270488,118046
95,1,41569,70066,91261,118026,118202,117905,117906,290919,117908
96,1,4684,50806,117961,118446,119961,118259,118260,290919,118261
97,1,77943,4478,117961,118386,118692,118321,117906,290919,118322
98,1,38860,15541,118573,118574,118556,280788,127423,292795,119082
99,1,74142,2371,117961,117962,118501,120702,308462,118504,120704
100,1,58928,17091,117961,118225,118403,118054,287351,117887,118055
101,1,79309,17128,117961,118300,119984,118396,300044,118398,118399
102,0,36480,15510,118169,118170,118171,130479,185784,119784,130481
103,1,16591,44053,117961,117962,117904,119949,123170,290919,119951
104,1,77429,14810,117961,118413,120370,118321,117906,290919,118322
105,1,80550,5659,117961,118300,124725,118321,117906,290919,118322
106,1,25814,1065,117961,118327,121589,118641,306399,118643,118644
107,1,15805,4438,117961,118386,121668,118777,279443,308574,118779
108,1,4675,59029,118555,118178,118320,118321,117906,290919,118322
109,1,56665,4636,117902,117903,119181,120952,130134,118453,120954
110,1,73756,3371,117902,118041,118042,118043,118044,270488,118046
111,1,90518,7252,117961,117962,118352,117905,117906,290919,117908
112,0,80501,19717,117961,117962,118352,118321,117906,290919,118322
113,1,81480,96704,117910,117911,117884,117879,117886,19721,117880
114,1,3069,770,117961,118300,119181,118451,130134,118453,118454
115,1,79021,5568,121785,121786,118492,132692,174445,270488,132694
116,1,33642,50323,117980,117981,117941,118568,281735,19721,118570
117,1,23553,20899,117961,118340,117970,179731,179731,117887,117973
118,1,42085,5715,91261,118026,119362,119363,307210,118667,119365
119,1,38655,17614,117902,118041,118042,118043,118044,270488,118046
120,1,25330,19702,118269,118270,117878,117879,117879,19721,117880
121,1,1098,6993,117961,118343,118514,117905,240983,290919,117908
122,0,23096,29762,117961,118052,120398,122067,130238,118424,122069
123,1,34433,50976,117961,118413,119968,117905,117906,290919,117908
124,1,78607,7560,117961,118343,119181,118321,117906,290919,118322
125,1,79121,225257,120342,120343,119076,118422,124426,118424,118425
126,1,42347,98689,117902,117903,132530,117905,117906,290919,117908
127,1,34575,4013,117961,118300,118514,118321,240983,290919,118322
128,1,19730,4311,119062,119091,118514,118777,279443,308574,118779
129,1,103462,15413,117961,118343,120270,311867,130382,118478,118479
130,1,39262,51748,118315,118316,225010,118685,279443,308574,118687
131,1,16333,111936,117961,118300,118783,117905,240983,290919,117908
132,1,15007,770,117961,118300,120722,118451,130134,118453,118454
133,1,75787,15387,117887,118178,118575,119849,212678,118638,119851
134,1,45790,1215,117961,118327,120171,118863,126488,118398,118865
135,1,20349,46254,117961,118327,126310,118641,306399,118643,118644
136,1,73752,70062,117961,118386,118746,117905,117906,290919,117908
137,1,6964,5432,117961,118327,118391,118641,123881,118643,118644
138,1,25231,1216,117902,117903,118507,119529,205305,119006,119531
139,1,34633,4264,118887,118888,118979,118980,199144,118295,118982
140,1,28472,28163,118315,118316,120361,118321,175154,290919,118322
141,1,24015,14731,117961,118446,118447,119346,302830,4673,119348
142,1,75813,75640,118315,118463,119214,118321,117906,290919,118322
143,1,74161,2290,117902,117903,118403,128422,122352,118453,128424
144,1,30628,7987,117961,118327,120383,118321,149826,290919,118322
145,1,4675,17394,117961,118413,122007,118321,117906,290919,118322
146,1,45444,124899,117961,118327,120171,118890,182227,118398,118892
147,1,3853,5030,117961,118343,120126,120497,223125,118424,120499
148,1,32997,2286,117902,117903,277693,117905,117906,290919,117908
149,1,31613,7629,117961,118327,120383,118784,213944,290919,118786
150,1,42031,28245,118315,118463,123089,117905,130219,290919,117908
151,1,6302,50581,118114,118115,117884,117885,117913,117887,117888
152,1,79850,4004,117961,118343,118856,117905,117906,290919,117908
153,1,79647,5360,117961,118446,122550,118321,117906,290919,118322
154,1,7678,15417,117961,119256,119257,126684,130913,292795,126685
155,1,4675,49577,117961,118327,118933,118784,200462,290919,118786
156,0,77977,3811,120864,121013,118395,118396,269406,118398,118399
157,1,44812,5432,117961,118327,118391,118784,117906,290919,118786
158,1,80472,120822,119596,119597,120823,120647,311441,118398,120649
159,0,14570,23304,117961,118327,124921,137969,271378,118612,137970
160,1,43519,6890,117961,118446,120317,117905,117906,290919,117908
161,1,75834,8343,119301,119302,119303,117905,120828,290919,117908
162,1,98054,36,117961,118413,119968,118321,117906,290919,118322
163,1,80222,44038,117902,117903,118910,119346,302830,4673,119348
164,1,31299,3118,117961,118300,118458,120789,309123,118424,120791
165,1,78327,79402,117983,117984,117878,118568,292195,19721,118570
166,1,19722,4511,117961,118300,119181,118321,117906,290919,118322
167,1,1937,6216,117961,118327,118328,130857,161026,308574,130858
168,1,75901,4945,117961,118300,118360,119849,148676,118638,119851
169,1,25993,139593,117902,118041,119781,130479,179826,119784,130481
170,0,20312,18044,117961,118386,118522,118321,117906,290919,118322
171,1,4675,71189,117961,118386,128823,118259,125206,290919,118261
172,1,40919,38364,118315,118316,118464,130857,156150,308574,130858
173,1,74242,7398,117961,118225,118616,117905,240983,290919,117908
174,1,80215,217,117961,118413,120370,118321,240983,290919,118322
175,1,29058,3651,119062,119091,123125,124152,300136,118424,124154
176,1,79092,25557,117961,118300,121951,128422,130134,118453,128424
177,1,15913,2061,117961,118327,120383,118641,120319,118643,118644
178,1,25098,2003,118441,118442,118378,118054,121603,117887,118055
179,1,25312,69981,118595,118596,118706,118172,130384,249618,118175
180,1,1151,50117,117961,118327,118507,118863,122008,118398,118865
181,1,79092,70264,117961,118343,118437,124435,118362,118363,124436
182,1,44644,50997,117961,118052,120539,118321,118448,290919,118322
183,1,86292,8715,117961,118052,119986,118321,117906,290919,118322
184,1,4675,8563,117961,118300,118783,117905,117906,290919,117908
185,1,34580,1398,117961,118300,120722,118784,130735,290919,118786
186,0,18913,273476,117926,118266,117920,118568,310732,19721,118570
187,1,16321,7014,117961,118446,119961,118278,118260,290919,118279
188,1,80780,4272,117961,118343,120666,123045,123107,120518,123047
189,0,44976,7691,118555,118178,117945,117946,119114,292795,117948
190,1,41235,59000,118181,118182,117941,118568,292195,19721,118570
191,1,7543,6257,117961,118343,120722,118784,117906,290919,118786
192,1,3853,20560,117876,117877,117878,117879,117879,19721,117880
193,1,34396,34375,117961,117969,189629,179731,123099,117887,117973
194,1,41643,13854,117961,118052,118821,118278,117906,290919,118279
195,1,80057,7084,117961,118386,121961,118318,130278,118205,118319
196,1,38964,4341,117961,118343,118957,118321,117906,290919,118322
197,1,16619,14731,117961,118446,118447,121594,170665,4673,121596
198,1,4675,4362,118212,118213,126955,118685,120316,308574,118687
199,1,79228,13400,117983,117984,117878,117879,117879,19721,117880
200,1,36480,15541,118573,118574,118556,280788,127423,292795,119082
201,1,20279,50625,117916,118150,117884,117885,117913,117887,117888
202,1,42873,4590,117961,118343,118395,123067,269406,118398,123068
203,1,37942,11439,117935,117936,117878,117885,117913,117887,117888
204,1,36674,14633,118106,118107,117884,117879,117886,19721,117880
205,1,25831,55161,118752,119070,118754,119885,118806,118474,119887
206,1,35196,16643,119134,119135,118701,119587,284481,118704,119589
207,1,39518,7822,117961,118327,118492,118777,174445,308574,118779
208,1,41649,4084,117961,118052,118992,118321,117906,290919,118322
209,0,7543,4554,117961,118300,118514,118259,118260,290919,118261
210,1,75078,75114,118315,118463,118522,307024,294485,118331,118332
211,1,16153,79105,119062,119063,124211,120516,123107,120518,120519
212,1,33155,1915,117961,118300,119181,118784,117906,290919,118786
213,1,7543,23144,117961,118225,118403,120690,120690,290919,120692
214,1,42942,5235,120864,121013,121961,118523,246167,118331,118525
215,1,13878,54261,117890,117891,117878,118568,123862,19721,118570
216,1,20292,50448,117926,118124,117884,117879,117886,19721,117880
217,1,42031,2071,117961,118386,118501,118502,130777,118504,118505
218,1,6914,5518,117961,118300,118514,118259,132715,290919,118261
219,1,75834,21033,117961,118300,123749,118777,279443,308574,118779
220,1,39233,5659,117961,118300,124725,117905,117906,290919,117908
221,1,40867,87910,91261,118026,119507,118278,118260,290919,118279
222,1,25213,1311,117961,117962,118910,118451,123503,118453,118454
223,1,55554,1448,117902,117903,120722,117905,117906,290919,117908
224,1,75078,3230,117961,118386,121961,120348,249620,118295,120350
225,1,31299,1605,117961,118327,128935,149337,205238,118398,149339
226,1,79948,4932,117961,118225,119824,123737,147851,118960,123738
227,1,78845,81794,117961,118052,119972,122551,159682,118762,122552
228,1,38470,72734,118079,118080,117878,117885,118177,117887,117888
229,1,45976,16527,91261,118026,118202,118321,117906,290919,118322
230,1,74818,4274,117961,118327,118744,120591,183734,119095,120593
231,1,70452,13401,117980,117981,118246,179731,141712,117887,117973
232,1,40438,17640,117961,118052,118706,118318,120689,118205,118319
233,1,20279,72322,117916,118011,117884,117885,117913,117887,117888
234,0,967,2855,118169,118170,119262,117946,125711,292795,117948
235,1,36772,51491,118074,23779,117884,117879,117886,19721,117880
236,1,43431,120000,117961,118225,119136,120056,255657,118474,120058
237,1,4675,69637,119062,119091,118535,117905,117906,290919,117908
238,1,25993,4933,117961,118300,118458,307024,301218,118331,118332
239,1,25231,1038,118887,118888,118889,118863,307233,118398,118865
240,1,6977,5697,117961,118386,118692,118784,117906,290919,118786
241,1,99461,1088,117961,118327,119830,117905,117906,290919,117908
242,1,42881,1988,117961,118446,16232,117905,117906,290919,117908
243,1,80973,15746,117961,118052,119742,118321,118448,290919,118322
244,1,17825,13836,119920,119921,142145,128230,302830,4673,128231
245,1,43876,58954,118079,118080,117878,117885,118177,117887,117888
246,1,74161,7586,117961,118225,118403,118321,117906,290919,118322
247,1,24890,3692,117961,118413,126229,121594,207709,4673,121596
248,1,6977,70056,117961,118225,118403,118777,279443,308574,118779
249,0,107225,15389,117961,118225,122870,119928,129017,118331,119929
250,1,44909,4659,117961,118225,120663,118784,147114,290919,118786
251,1,74283,25618,117961,118327,118320,118523,310608,118331,118525
252,1,34075,221,117961,118413,120370,118321,118448,290919,118322
253,1,75078,46608,118315,118463,122636,120773,123148,118960,120774
254,1,42093,2594,117961,118300,123472,118259,118260,290919,118261
255,1,3057,1398,117961,118300,120722,118321,117906,290919,118322
256,1,27416,1549,118084,118085,117920,118129,132803,118131,118132
257,1,74347,33266,117961,118300,123719,117905,240983,290919,117908
258,0,21751,56199,117961,118052,118881,117905,117906,290919,117908
259,1,73562,13845,117961,117962,120526,118784,310608,290919,118786
260,1,29304,98229,117975,117976,117884,117879,117886,19721,117880
261,1,39353,85475,117961,118300,120410,118784,117906,290919,118786
262,1,25744,6225,117961,118343,120722,118784,117906,290919,118786
263,1,78816,6216,117961,118052,118328,124886,306399,118643,124888
264,1,38714,3692,117961,118413,120370,121594,170665,4673,121596
265,1,38840,7915,117961,118300,118597,118834,127160,118424,118836
266,1,39395,49423,117961,118052,123144,118396,269406,118398,118399
267,1,1003,7220,117961,118225,120551,117905,186454,290919,117908
268,1,34886,4639,117961,118343,118856,118278,117906,290919,118279
269,1,4675,13871,117961,118300,118514,118321,240983,290919,118322
270,1,42093,70128,118595,118596,81476,118834,153821,118424,118836
271,1,17308,4933,117961,118343,118458,120006,311622,118424,120008
272,1,16301,217,117961,118413,120370,118321,117906,290919,118322
273,1,42976,4713,117961,118052,120398,120344,311360,118424,120346
274,1,75272,4918,117961,118300,123055,120344,311360,118424,120346
275,0,27416,50601,117916,117917,117941,117879,117886,19721,117880
276,1,35376,28163,118315,118316,120361,118321,175154,290919,118322
277,1,98033,4549,117961,118225,120050,117905,117906,290919,117908
278,1,18072,57715,117961,118446,118701,118702,129679,118704,118705
279,1,44592,7081,117961,118225,119924,118685,120316,308574,118687
280,1,22481,30533,91261,118026,119507,123648,123107,120518,123650
281,1,80473,6454,117961,118343,118856,120773,165589,118960,120774
282,1,79121,55119,119062,119091,123125,134095,300136,118474,118475
283,1,41594,91342,117961,118327,118933,209874,311622,308574,209875
284,1,75338,8280,118212,118580,117895,117896,117897,117887,117898
285,1,15922,123020,117961,118300,118514,118321,117906,290919,118322
286,1,16333,7021,117961,118300,118783,118784,287626,290919,118786
287,1,42972,49323,118990,118991,118992,118321,117906,290919,118322
288,1,80202,3000,117961,118225,120551,118321,118448,290919,118322
289,0,917,5313,117961,118386,120356,120357,201020,118424,120359
290,1,45481,17270,117961,118300,128830,118826,150790,118424,118828
291,1,6094,15015,117961,118413,122007,118321,117906,290919,118322
292,1,45035,61948,118163,118164,117878,117879,208308,19721,117880
293,1,302049,2685,122880,122974,117945,117946,149467,292795,117948
294,1,79299,17059,117902,118041,118556,118274,119248,292795,118276
295,1,28294,4100,118290,118291,124668,119928,278266,118331,119929
296,1,32270,5178,117961,118343,118660,118826,158101,118424,118828
297,1,4684,60121,121785,121786,119922,118784,203564,290919,118786
298,1,79092,7212,117961,118300,124725,118784,117906,290919,118786
299,1,17308,5039,117961,118343,123125,119849,282370,118638,119851
300,1,98464,53208,118602,118603,118810,310825,149047,117887,121395
301,1,32270,1334,117961,117962,118910,118054,118368,117887,118055
302,1,40189,5210,117961,118343,119598,119433,133686,118424,119435
303,1,37793,1923,117902,117903,118783,117905,117906,290919,117908
304,1,16997,15945,118290,118291,121617,124799,152247,121620,124801
305,1,80674,49453,117961,118343,118660,118912,309291,118424,118914
306,1,81478,5504,117961,118300,118514,118685,132642,308574,118687
307,1,77178,3225,117961,118327,118929,118321,117906,290919,118322
308,1,32270,18236,117961,118052,120304,122297,301475,118331,118899
309,1,17795,54684,117961,117962,118910,118777,279443,308574,118779
310,1,14570,57816,118219,118220,118810,118811,128802,19793,118813
311,1,15064,2363,117961,117962,141383,118368,118368,117887,118486
312,1,42919,6222,117961,118052,118746,117905,117906,290919,117908
313,1,17308,5043,117961,118300,118458,118523,129545,118331,118525
314,1,30999,2942,117961,118343,118700,118784,117906,290919,118786
315,1,3853,4716,118290,118291,120026,120344,165069,118424,120346
316,1,75834,49384,117961,118343,118609,118728,301534,118295,118730
317,1,34536,55941,117961,118327,122109,117905,117906,290919,117908
318,0,4675,58719,117961,118386,119954,118318,168365,118205,118319
319,0,79092,108732,119062,119091,118684,122989,131688,119006,122991
320,1,915,770,117961,118300,120722,118451,142600,118453,118454
321,1,27082,141,117961,118225,122273,117905,240983,290919,117908
322,1,23921,17261,117961,118343,118833,118054,124356,117887,118055
323,1,23194,1398,117961,118300,120722,118321,117906,290919,118322
324,1,70086,76523,117983,117984,117878,118568,292195,19721,118570
325,1,79092,6454,117961,118343,118856,118321,117906,290919,118322
326,1,78833,1334,117961,117962,118910,119949,230830,290919,119951
327,1,15361,27,117961,118413,120370,118321,117906,290919,118322
328,1,25993,4918,117961,118300,123055,120344,311360,118424,120346
329,0,971,4219,117961,118300,120312,120313,157234,118424,120315
330,1,73112,27104,117961,118327,118507,118054,120716,117887,118055
331,1,3853,114489,117961,118413,119968,118784,117906,290919,118786
332,1,34498,4125,118887,118888,121108,120006,311746,118424,120008
333,1,18394,14855,117961,118300,123719,118451,153802,118453,118454
334,1,20349,25813,117961,118300,118066,120988,213772,118643,120989
335,1,77343,2858,118219,118220,118344,127847,128352,118347,127848
336,1,25993,1409,117961,118300,118437,118321,117906,290919,118322
337,1,39511,4118,117876,117877,117878,118568,292195,19721,118570
338,1,20303,718,117961,118300,119181,118259,126363,290919,118261
339,1,34950,91342,117961,118327,118933,307024,311622,118331,118332
340,1,79121,4736,117961,118300,118301,307024,204593,118331,118332
341,1,74343,52105,118595,118596,81476,118422,170384,118424,118425
342,1,33146,1271,117961,118327,118507,118863,127778,118398,118865
343,1,3853,49302,117961,118343,118514,118321,240983,290919,118322
344,1,80920,3973,118887,118888,118631,118912,309291,118424,118914
345,0,77203,15621,117961,119256,120943,126684,126684,292795,126685
346,0,16495,26009,117961,118446,119986,118777,279443,308574,118779
347,1,38655,4993,117961,118300,118979,118912,309291,118424,118914
348,1,107522,25262,117961,118327,118320,123067,137949,118398,123068
349,1,4675,23339,117961,118300,118783,118321,118406,290919,118322
350,1,34073,217,117961,118413,120370,118321,117906,290919,118322
351,1,80685,17694,117961,118343,119598,117905,117906,290919,117908
352,1,81261,5496,91261,118026,118202,117905,117906,290919,117908
353,1,108223,4474,117961,118446,119064,117905,117906,290919,117908
354,1,90526,3889,117961,118386,121883,117905,117906,290919,117908
355,1,45089,1475,91261,118026,118450,118641,123881,118643,118644
356,1,52683,56007,117980,118076,117912,118568,117886,19721,118570
357,1,34026,5456,117961,118225,118403,118321,117906,290919,118322
358,1,42031,92216,118315,118316,120764,118465,175082,118467,118468
359,1,34628,2034,117961,118052,118328,299559,118204,118205,163732
360,1,13878,12456,117935,117936,117878,117879,117879,19721,117880
361,1,80826,5396,117961,118343,119993,120773,118959,118960,120774
362,1,33616,8234,117961,118300,118783,117905,117906,290919,117908
363,1,917,1030,117961,118343,120722,118361,118362,118363,118364
364,1,4675,111936,117961,118300,118783,118784,117906,290919,118786
365,1,84071,15746,117961,118052,119742,118321,117906,290919,118322
366,1,80160,6482,117961,118052,118821,118321,117906,290919,118322
367,1,38482,350,118216,118217,117941,117885,117913,117887,117888
368,1,82277,7278,91261,118026,118202,118321,117906,290919,118322
369,1,32270,25293,117961,118386,123072,121414,130802,118704,121416
370,1,18293,17787,118114,118115,118846,179731,140758,117887,117973
371,1,80540,3119,117961,118300,120312,119849,236236,118638,119851
372,1,42713,19642,117961,118413,118481,118321,117906,290919,118322
373,1,256,6440,118216,118217,117941,118568,281735,19721,118570
374,1,33111,3000,117961,118225,120551,117905,240983,290919,117908
375,1,38239,51165,117983,117984,117878,118568,120877,19721,118570
376,1,36429,77306,119280,119281,117945,280788,280788,292795,119082
377,1,3066,770,117961,118300,120722,118747,130134,118453,118749
378,1,42085,17058,117961,118300,119488,118728,301534,118295,118730
379,1,72191,16243,117961,118327,118933,118841,128747,118643,118843
380,1,34958,2061,117961,118327,120383,118641,306399,118643,118644
381,1,74627,14349,118976,118977,117895,117879,118250,19721,117880
382,1,40204,20382,117961,118300,124942,118784,117906,290919,118786
383,1,91620,19760,117961,117962,118352,118321,117906,290919,118322
384,1,4685,47,119920,119921,176153,117905,117906,290919,117908
385,1,25322,123367,117932,117933,117878,117879,117897,19721,117880
386,1,80536,3656,117961,118300,118631,118924,153285,118667,118926
387,1,77951,96511,117922,117923,118810,122927,121125,118131,122929
388,1,32270,23225,117961,118300,119984,120647,311441,118398,120649
389,1,77295,56137,117961,118327,118862,118396,269406,118398,118399
390,1,31441,16972,118887,118888,119987,119849,240725,118638,119851
391,1,43876,56596,118079,118080,117878,117879,304519,19721,117880
392,1,34924,25262,117961,118327,118320,118685,310608,308574,118687
393,1,25990,4263,121785,121786,119142,118321,117906,290919,118322
394,1,38713,15612,117902,118041,118556,280788,280788,292795,119082
395,1,15915,54248,117961,118327,120559,120618,304465,118643,120619
396,1,45990,7705,117887,118178,117945,259173,141966,292795,118943
397,1,17308,72287,126918,126919,118042,118043,118043,270488,118046
398,1,80193,1325,117961,117969,118910,118054,118054,117887,118055
399,0,25279,15390,117961,118300,118301,120344,311360,118424,120346
400,0,79562,13876,117961,118386,118404,118841,240982,118643,118843
401,1,18418,6732,117961,117969,6725,120527,275449,6725,120529
402,0,80874,4589,117961,118327,120383,117905,240983,290919,117908
403,1,73756,2685,122880,122974,117945,117946,149467,292795,117948
404,1,29697,19956,117961,118327,274241,118777,133772,308574,118779
405,1,78185,15683,117961,118300,118957,118777,279443,308574,118779
406,1,34156,3692,117961,118413,126229,128230,302830,4673,128231
407,1,7678,17059,117902,118041,117945,259173,191237,292795,118943
408,1,76545,3558,117902,118041,118042,118043,118044,270488,118046
409,1,44641,5320,118290,118291,119598,120344,260942,118424,120346
410,1,80368,5140,119062,119091,121710,117905,117906,290919,117908
411,1,41594,3225,117961,118327,118929,118685,279443,308574,118687
412,1,42085,22458,117961,117962,120677,307024,306404,118331,118332
413,1,43056,2610,117961,118327,121979,118321,240983,290919,118322
414,1,26437,56310,118212,118580,117895,117896,117913,117887,117898
415,1,40997,19286,117961,118225,121716,118636,310589,118638,118639
416,1,43431,18185,117961,118225,129617,121414,269394,118704,121416
417,1,33111,4542,117961,118225,120551,128230,302830,4673,128231
418,1,43280,3281,117961,118225,119238,122849,120324,119095,122850
419,1,75834,1912,119134,119135,118042,117896,287998,117887,117898
420,1,102270,111936,117961,118300,118783,117905,117906,290919,117908
421,1,34865,3722,117961,118300,120059,119849,124718,118638,119851
422,1,23921,4821,117961,118343,119598,118980,304760,118295,118982
423,1,23096,17598,117961,118300,118631,135809,176829,118331,135811
424,1,44594,2014,117961,117962,117904,120773,127525,118960,120774
425,0,39879,55642,118256,118257,117945,118995,118806,292795,118997
426,1,74466,7398,117961,118225,119924,118321,117906,290919,118322
427,1,4675,4567,117961,118300,118514,118318,168365,118205,118319
428,1,22282,19697,117935,117936,117878,117885,117937,117887,117888
429,1,45338,2378,117876,117877,117878,247659,163031,19721,247660
430,1,41495,7539,117961,118343,119987,118321,117906,290919,118322
431,1,39932,2819,119062,119091,120410,118028,310589,117887,118030
432,1,42093,5002,117961,118343,119598,118422,300136,118424,118425
433,1,16421,4584,117961,118300,120297,117905,117906,290919,117908
434,1,107802,4511,117961,118300,119181,118784,117906,290919,118786
435,1,41325,14810,117961,118413,120370,117905,117906,290919,117908
436,1,28294,7519,91261,118026,118202,118784,124402,290919,118786
437,1,29697,49096,118212,159716,118378,120952,159717,118453,120954
438,1,15018,133801,119062,119091,118535,117905,117906,290919,117908
439,1,74302,55636,117916,118011,117920,119192,139264,119184,119194
440,1,20293,547,117926,117927,117884,117885,117913,117887,117888
441,1,78882,52056,118212,118213,119734,153957,153958,118667,153959
442,0,42019,4362,117961,118343,126955,118777,279443,308574,118779
443,1,74310,7579,117961,118300,120722,118685,123004,308574,118687
444,1,33993,30527,117961,118225,120551,119928,127692,118331,119929
