rate_marriage,age,yrs_married,children,religious,educ,occupation,occupation_husb,affairs
3.0,32.0,16.5,3.0,3.0,12.0,3.0,2.0,0.7272727
5.0,42.0,23.0,2.0,2.0,14.0,5.0,5.0,0.5217391
3.0,27.0,16.5,4.0,3.0,14.0,4.0,2.0,0.7424242
3.0,32.0,16.5,4.0,2.0,20.0,4.0,4.0,0.7272727
4.0,22.0,2.5,2.0,2.0,14.0,5.0,2.0,4.7999992
5.0,27.0,6.0,0.0,1.0,12.0,3.0,4.0,7.466667200000001
4.0,37.0,16.5,3.0,4.0,16.0,5.0,5.0,0.2121212
3.0,22.0,2.5,0.0,2.0,12.0,3.0,5.0,1.3999996000000001
4.0,32.0,13.0,2.0,2.0,14.0,3.0,5.0,1.5076914
5.0,42.0,23.0,5.5,3.0,17.0,4.0,4.0,0.5217391
2.0,27.0,6.0,2.0,3.0,12.0,2.0,2.0,1.333333
5.0,22.0,2.5,1.0,2.0,16.0,3.0,6.0,1.3999996000000001
3.0,42.0,23.0,2.0,3.0,12.0,2.0,2.0,0.5326086999999999
5.0,42.0,23.0,3.0,1.0,14.0,3.0,5.0,1.826086
4.0,22.0,2.5,0.0,3.0,12.0,3.0,4.0,4.8999996
3.0,27.0,9.0,1.0,4.0,14.0,5.0,5.0,0.1111111
2.0,37.0,23.0,3.0,3.0,12.0,2.0,4.0,4.173913
3.0,32.0,9.0,3.0,3.0,14.0,4.0,5.0,0.3888888
5.0,37.0,16.5,4.0,3.0,12.0,3.0,4.0,1.1878777
3.0,27.0,9.0,2.0,2.0,12.0,5.0,2.0,1.333333
3.0,27.0,6.0,1.0,2.0,17.0,2.0,2.0,1.333333
5.0,22.0,2.5,0.0,3.0,14.0,3.0,3.0,1.3999996000000001
5.0,27.0,6.0,0.0,2.0,17.0,4.0,5.0,1.333333
4.0,22.0,2.5,0.0,2.0,12.0,4.0,2.0,4.8999996
4.0,27.0,6.0,0.0,2.0,12.0,3.0,4.0,4.666666
3.0,32.0,9.0,1.0,2.0,12.0,3.0,3.0,0.1111111
1.0,42.0,23.0,4.0,3.0,12.0,3.0,5.0,0.8521735
2.0,22.0,6.0,2.0,2.0,12.0,3.0,4.0,1.333333
4.0,32.0,16.5,2.0,2.0,12.0,2.0,2.0,0.4848484
4.0,32.0,13.0,3.0,3.0,14.0,2.0,2.0,0.9423077
5.0,27.0,9.0,2.0,1.0,12.0,3.0,3.0,0.3888888
3.0,42.0,23.0,3.0,2.0,12.0,3.0,2.0,0.5217391
3.0,37.0,16.5,1.0,3.0,20.0,6.0,6.0,2.7151508
5.0,32.0,13.0,2.0,1.0,12.0,5.0,2.0,0.9423077
4.0,27.0,13.0,3.0,1.0,12.0,4.0,2.0,3.4461536
2.0,37.0,13.0,0.0,2.0,14.0,3.0,5.0,0.9230769
3.0,27.0,9.0,1.0,1.0,12.0,2.0,2.0,3.1111107000000002
5.0,27.0,6.0,0.0,1.0,14.0,5.0,5.0,3.2666645
2.0,42.0,23.0,2.0,3.0,12.0,5.0,2.0,0.8521735
5.0,27.0,6.0,0.0,2.0,16.0,3.0,4.0,0.5833333
4.0,22.0,2.5,0.0,4.0,16.0,5.0,4.0,7.8399963
5.0,22.0,2.5,0.0,2.0,16.0,4.0,4.0,1.3999996000000001
5.0,42.0,13.0,0.0,3.0,12.0,3.0,2.0,1.5076914
4.0,22.0,2.5,1.0,1.0,16.0,3.0,4.0,1.3999996000000001
4.0,32.0,9.0,1.0,3.0,16.0,3.0,5.0,1.3611107
4.0,27.0,9.0,2.0,2.0,12.0,4.0,2.0,0.3888888
5.0,27.0,6.0,0.0,1.0,16.0,5.0,2.0,2.041666
4.0,32.0,16.5,3.0,2.0,14.0,5.0,4.0,2.545454
2.0,42.0,2.5,0.0,4.0,20.0,6.0,5.0,4.7999992
2.0,42.0,23.0,5.5,4.0,14.0,3.0,6.0,0.34782609999999997
4.0,42.0,23.0,4.0,2.0,12.0,3.0,2.0,0.34782609999999997
3.0,22.0,2.5,0.0,3.0,16.0,5.0,5.0,4.7999992
2.0,22.0,2.5,0.0,3.0,14.0,3.0,5.0,1.3999996000000001
4.0,22.0,2.5,0.0,3.0,14.0,3.0,3.0,4.7999992
4.0,32.0,16.5,4.0,3.0,14.0,4.0,4.0,0.2121212
5.0,32.0,13.0,2.0,4.0,17.0,4.0,5.0,0.9423077
4.0,32.0,13.0,3.0,4.0,12.0,3.0,5.0,1.5076914
5.0,27.0,9.0,2.0,1.0,14.0,4.0,4.0,1.3611107
4.0,27.0,6.0,1.0,4.0,16.0,3.0,4.0,0.5833333
4.0,27.0,9.0,2.0,3.0,12.0,2.0,4.0,1.333333
1.0,37.0,16.5,3.0,2.0,17.0,4.0,4.0,0.7424242
3.0,27.0,9.0,3.0,2.0,12.0,4.0,5.0,1.3611107
2.0,27.0,6.0,0.0,2.0,14.0,3.0,4.0,4.666666
3.0,22.0,2.5,1.0,2.0,14.0,2.0,2.0,25.5999908
4.0,22.0,2.5,1.0,3.0,12.0,3.0,4.0,4.8999996
4.0,27.0,2.5,0.0,2.0,14.0,4.0,4.0,1.3999996000000001
1.0,42.0,23.0,2.0,3.0,12.0,3.0,5.0,0.5217391
5.0,27.0,6.0,2.0,4.0,14.0,5.0,5.0,3.2666645
5.0,27.0,6.0,0.0,1.0,12.0,4.0,2.0,0.5833333
4.0,37.0,23.0,2.0,3.0,12.0,3.0,5.0,0.1521739
4.0,22.0,6.0,2.0,2.0,12.0,3.0,4.0,0.16666660000000003
1.0,32.0,13.0,1.0,3.0,14.0,3.0,1.0,0.9423077
5.0,22.0,6.0,1.0,1.0,16.0,3.0,5.0,0.5833333
5.0,27.0,6.0,0.0,1.0,14.0,3.0,5.0,2.0
5.0,27.0,6.0,1.0,1.0,17.0,4.0,5.0,3.2666645
4.0,37.0,16.5,1.0,2.0,14.0,2.0,5.0,1.1878777
4.0,27.0,9.0,2.0,2.0,12.0,2.0,2.0,2.1777763
4.0,42.0,23.0,4.0,1.0,12.0,3.0,4.0,0.1521739
4.0,32.0,13.0,0.0,3.0,12.0,2.0,2.0,2.1538458
5.0,32.0,13.0,2.0,3.0,12.0,2.0,2.0,0.9230769
4.0,42.0,23.0,4.0,1.0,17.0,4.0,4.0,0.8521735
4.0,37.0,23.0,4.0,2.0,14.0,4.0,3.0,0.5326086999999999
4.0,32.0,16.5,2.0,2.0,14.0,3.0,6.0,1.1878777
4.0,27.0,13.0,4.0,3.0,12.0,2.0,4.0,3.2307692
5.0,37.0,23.0,3.0,2.0,12.0,3.0,2.0,0.1521739
2.0,32.0,13.0,0.0,3.0,9.0,6.0,2.0,0.07692310000000001
5.0,32.0,13.0,2.0,1.0,14.0,4.0,6.0,3.4461536
4.0,27.0,6.0,1.0,2.0,14.0,4.0,2.0,0.16666660000000003
5.0,27.0,2.5,0.0,3.0,20.0,4.0,5.0,4.7999992
2.0,42.0,23.0,3.0,3.0,14.0,4.0,2.0,0.5217391
3.0,27.0,6.0,0.0,1.0,14.0,3.0,2.0,0.5833333
4.0,27.0,6.0,1.0,2.0,12.0,3.0,4.0,2.041666
2.0,22.0,2.5,0.0,3.0,12.0,3.0,3.0,3.1999998
3.0,27.0,2.5,0.0,3.0,12.0,2.0,2.0,7.8399963
4.0,42.0,23.0,2.0,2.0,17.0,5.0,2.0,0.8521735
5.0,32.0,13.0,2.0,1.0,14.0,2.0,5.0,0.9230769
5.0,32.0,13.0,0.0,1.0,12.0,5.0,4.0,2.1538458
4.0,27.0,9.0,2.0,2.0,16.0,4.0,5.0,0.3888888
5.0,42.0,23.0,4.0,3.0,17.0,4.0,4.0,0.1521739
3.0,27.0,9.0,3.0,1.0,16.0,4.0,5.0,0.1111111
5.0,42.0,13.0,0.0,2.0,14.0,5.0,3.0,0.9230769
5.0,32.0,16.5,2.0,2.0,16.0,5.0,5.0,0.2121212
1.0,42.0,23.0,2.0,1.0,12.0,3.0,3.0,1.826086
4.0,27.0,6.0,0.0,1.0,12.0,3.0,4.0,0.5833333
5.0,42.0,23.0,3.0,2.0,12.0,5.0,4.0,1.9478254000000002
4.0,27.0,9.0,2.0,3.0,16.0,4.0,5.0,1.333333
2.0,32.0,13.0,3.0,3.0,20.0,4.0,5.0,0.07692310000000001
4.0,22.0,2.5,0.0,2.0,12.0,3.0,2.0,11.1999998
3.0,32.0,16.5,3.0,2.0,12.0,3.0,2.0,0.7272727
5.0,27.0,6.0,1.0,3.0,12.0,5.0,2.0,2.0
3.0,27.0,2.5,0.0,1.0,12.0,3.0,4.0,3.1999998
5.0,22.0,2.5,0.0,2.0,16.0,4.0,6.0,1.3999996000000001
3.0,32.0,13.0,0.0,2.0,16.0,4.0,5.0,0.9230769
4.0,37.0,16.5,2.0,2.0,20.0,4.0,2.0,0.7424242
4.0,27.0,6.0,1.0,2.0,17.0,4.0,5.0,2.041666
4.0,37.0,23.0,4.0,2.0,12.0,3.0,2.0,0.1521739
4.0,22.0,2.5,2.0,2.0,14.0,3.0,5.0,4.8999996
3.0,27.0,6.0,1.0,3.0,17.0,4.0,4.0,1.333333
4.0,32.0,16.5,3.0,4.0,12.0,3.0,5.0,1.1878777
5.0,22.0,6.0,2.0,3.0,14.0,3.0,5.0,7.466667200000001
4.0,32.0,13.0,2.0,3.0,14.0,3.0,2.0,0.07692310000000001
4.0,27.0,9.0,1.0,1.0,14.0,2.0,5.0,1.3611107
3.0,32.0,16.5,2.0,2.0,12.0,3.0,4.0,0.7272727
4.0,27.0,13.0,2.0,2.0,12.0,3.0,2.0,0.07692310000000001
5.0,27.0,9.0,1.0,3.0,12.0,2.0,3.0,0.3888888
3.0,27.0,9.0,0.0,1.0,12.0,3.0,4.0,16.0
4.0,27.0,9.0,0.0,3.0,14.0,5.0,6.0,4.9777775
3.0,22.0,2.5,0.0,1.0,12.0,3.0,2.0,7.8399963
3.0,32.0,13.0,2.0,3.0,20.0,4.0,5.0,0.07692310000000001
4.0,42.0,23.0,5.5,2.0,14.0,5.0,3.0,0.5326086999999999
5.0,22.0,2.5,0.0,2.0,16.0,3.0,4.0,4.8999996
5.0,27.0,9.0,1.0,2.0,14.0,4.0,5.0,0.3888888
5.0,37.0,13.0,2.0,3.0,14.0,4.0,3.0,0.26923070000000004
5.0,27.0,2.5,1.0,3.0,16.0,3.0,3.0,1.3999996000000001
4.0,27.0,6.0,0.0,2.0,14.0,3.0,2.0,0.5833333
5.0,22.0,2.5,0.0,2.0,12.0,4.0,4.0,7.8399963
5.0,27.0,6.0,1.0,3.0,12.0,2.0,3.0,1.333333
4.0,32.0,9.0,2.0,2.0,16.0,5.0,5.0,1.333333
4.0,32.0,6.0,2.0,3.0,14.0,4.0,2.0,2.041666
2.0,22.0,2.5,1.0,2.0,17.0,2.0,2.0,11.1999998
5.0,27.0,2.5,0.0,2.0,17.0,5.0,5.0,4.7999992
5.0,37.0,16.5,3.0,2.0,14.0,4.0,4.0,1.1878777
3.0,27.0,2.5,1.0,3.0,14.0,5.0,3.0,4.7999992
4.0,27.0,6.0,1.0,1.0,14.0,3.0,4.0,0.16666660000000003
5.0,27.0,6.0,2.0,3.0,12.0,2.0,4.0,3.2666645
4.0,42.0,23.0,3.0,2.0,12.0,3.0,2.0,1.217391
3.0,27.0,6.0,2.0,3.0,14.0,3.0,5.0,0.5833333
5.0,22.0,6.0,1.0,3.0,14.0,1.0,4.0,2.0
5.0,37.0,23.0,3.0,2.0,12.0,3.0,4.0,0.5326086999999999
3.0,37.0,16.5,3.0,3.0,12.0,3.0,4.0,1.1878777
4.0,42.0,23.0,4.0,2.0,9.0,4.0,4.0,0.5217391
4.0,42.0,23.0,3.0,3.0,12.0,3.0,5.0,0.5217391
4.0,37.0,23.0,2.0,2.0,16.0,4.0,6.0,0.1521739
5.0,32.0,16.5,4.0,1.0,12.0,2.0,1.0,0.4848484
4.0,27.0,6.0,2.0,3.0,14.0,2.0,6.0,1.333333
3.0,32.0,16.5,2.0,2.0,12.0,2.0,2.0,1.1878777
2.0,27.0,6.0,1.0,2.0,12.0,3.0,2.0,0.5833333
4.0,22.0,2.5,0.0,1.0,14.0,3.0,4.0,4.7999992
3.0,22.0,6.0,1.0,2.0,14.0,3.0,2.0,0.5833333
2.0,27.0,6.0,0.0,3.0,12.0,3.0,3.0,0.16666660000000003
4.0,27.0,6.0,1.0,2.0,12.0,2.0,5.0,3.2666645
3.0,22.0,2.5,1.0,1.0,12.0,5.0,5.0,4.8999996
2.0,37.0,16.5,3.0,2.0,14.0,3.0,5.0,1.1878777
5.0,32.0,13.0,2.0,2.0,16.0,4.0,2.0,3.2307692
5.0,22.0,2.5,0.0,1.0,12.0,3.0,2.0,1.3999996000000001
4.0,22.0,6.0,1.0,3.0,14.0,4.0,1.0,0.5833333
4.0,22.0,0.5,0.0,2.0,12.0,5.0,2.0,2.0
3.0,27.0,2.5,0.0,2.0,20.0,4.0,4.0,1.3999996000000001
5.0,27.0,2.5,0.0,3.0,12.0,2.0,2.0,1.3999996000000001
4.0,22.0,2.5,0.0,3.0,14.0,3.0,2.0,1.3999996000000001
4.0,42.0,16.5,2.0,1.0,16.0,4.0,5.0,2.7151508
5.0,32.0,13.0,1.0,2.0,12.0,5.0,2.0,1.5076914
5.0,32.0,13.0,3.0,3.0,14.0,3.0,5.0,0.9230769
5.0,32.0,2.5,0.0,3.0,14.0,4.0,2.0,4.7999992
3.0,32.0,13.0,1.0,1.0,16.0,4.0,5.0,0.9423077
5.0,42.0,23.0,2.0,3.0,14.0,5.0,6.0,1.217391
4.0,27.0,6.0,1.0,1.0,14.0,3.0,2.0,2.041666
3.0,37.0,16.5,4.0,3.0,12.0,2.0,5.0,1.1878777
5.0,37.0,16.5,2.0,2.0,12.0,2.0,4.0,0.2121212
2.0,32.0,9.0,1.0,2.0,12.0,3.0,3.0,1.333333
2.0,32.0,13.0,0.0,2.0,14.0,5.0,4.0,0.26923070000000004
4.0,22.0,0.5,0.0,1.0,12.0,3.0,4.0,2.0
4.0,22.0,6.0,0.0,1.0,12.0,3.0,4.0,0.16666660000000003
3.0,37.0,16.5,3.0,3.0,12.0,2.0,2.0,0.2121212
3.0,27.0,2.5,0.0,2.0,17.0,4.0,5.0,3.1999998
3.0,22.0,2.5,0.0,2.0,17.0,5.0,4.0,0.4
4.0,32.0,16.5,2.0,2.0,14.0,3.0,4.0,0.7272727
4.0,42.0,16.5,2.0,3.0,17.0,5.0,6.0,0.4848484
4.0,32.0,16.5,5.5,3.0,12.0,2.0,2.0,1.1878777
3.0,32.0,13.0,2.0,3.0,14.0,2.0,2.0,0.6153846
4.0,42.0,23.0,2.0,2.0,20.0,4.0,5.0,0.8521735
3.0,32.0,9.0,1.0,2.0,16.0,4.0,3.0,4.666666
4.0,22.0,2.5,0.0,2.0,14.0,3.0,2.0,1.3999996000000001
3.0,37.0,16.5,3.0,3.0,12.0,3.0,3.0,5.818181
3.0,42.0,23.0,3.0,1.0,14.0,3.0,4.0,0.5217391
1.0,32.0,16.5,3.0,3.0,12.0,4.0,2.0,0.7424242
2.0,37.0,16.5,5.5,2.0,12.0,2.0,5.0,2.545454
5.0,32.0,9.0,0.0,3.0,12.0,3.0,5.0,2.1777763
2.0,32.0,16.5,4.0,2.0,14.0,3.0,5.0,2.7151508
3.0,22.0,2.5,0.0,2.0,17.0,4.0,1.0,16.7999878
5.0,32.0,2.5,0.0,2.0,16.0,5.0,5.0,4.8999996
3.0,27.0,6.0,1.0,1.0,17.0,4.0,5.0,0.16666660000000003
4.0,27.0,6.0,0.0,1.0,17.0,4.0,1.0,3.2666645
3.0,37.0,16.5,2.0,2.0,14.0,4.0,2.0,0.2121212
4.0,37.0,16.5,2.0,1.0,14.0,3.0,3.0,0.2121212
5.0,42.0,23.0,2.0,3.0,14.0,3.0,4.0,0.5217391
4.0,32.0,13.0,2.0,1.0,17.0,4.0,2.0,0.9230769
3.0,27.0,9.0,0.0,1.0,14.0,3.0,5.0,4.9777775
